序號,路期,號碼,備註,路考日期,路考項目,
1027,0025BAA103,24,0025B129,,,
1108,0025BAA103,25,0025B135,,,
1074,0025BAA103,26,0025B136,,,
949,0025BAA103,27,0025B137,,,
896,0025AAA102,2,0025A057,,,
674,0025AAA102,3,0024B086補,,,
760,0025AAA102,4,0024B076補,,,
843,0025AAA102,5,0025A105,,,
849,0025AAA102,6,0025A101,,,
864,0025AAA102,7,0025A104,,,
870,0025AAA102,8,0025A102,,,
791,0025AAA102,9,0025A109,,,
709,0025AAA102,10,0024B071補,,,
744,0025AAA102,11,0024B079補,,,
747,0025AAA102,12,0024B077補,,,
830,0025AAA102,13,0025A044,,,
810,0025AAA102,14,0025A048,,,
797,0025AAA102,15,0025A052,,,
876,0025AAA102,16,0025A059,,,
789,0025AAA102,17,0025A049,,,
889,0025AAA102,18,0025A054,,,
865,0025AAA102,19,0025A064,,,
862,0025AAA102,20,0025A024,,,
863,0025AAA102,21,0025A069,,,
891,0025AAA102,22,0025A070,,,
655,0025AAA102,23,0024A017補,,,
859,0025AAA102,24,0025A050,,,
890,0025AAA102,25,0025A051,,,
886,0025AAA102,26,0025A046,,,
840,0025AAA102,27,0025A053,,,
793,0025AAA102,28,0025A043,,,
868,0025AAA102,29,0025A056,,,
813,0025AAA102,30,0025A047,,,
829,0025AAA102,31,0025A045,,,
790,0025AAA102,32,0025A055,,,
612,0025AAA102,33,0024A044補,,,
1156,0025AAA103,1,0001A026補,,,
732,0025AAA103,2,0024B025補,,,
752,0025AAA103,3,0024B027補,,,
804,0025AAA103,4,0025A108,,,
858,0025AAA103,5,0025A097,,,
867,0025AAA103,6,0025A023,,,
808,0025AAA103,7,0025A086,,,
821,0025AAA103,8,0025A090,,,
926,0025AAA103,9,0001A025補,,,
882,0025AAA103,10,0025A026,,,
192,0025AAA103,11,0022A027補,,,
787,0025AAA103,12,0025A002,,,
819,0025AAA103,13,0025A005,,,
866,0025AAA103,14,0025A006,,,
753,0025AAA103,15,0025A007,,,
816,0025AAA103,16,0025A009,,,
839,0025AAA103,17,0025A012,,,
881,0025AAA103,18,0025A014,,,
877,0025AAA103,19,0025A017,,,
887,0025AAA103,20,0025A018,,,
835,0025AAA103,21,0025A022,,,
879,0025AAA103,22,0025A094,,,
895,0025AAA103,23,0025A093,,,
796,0025AAA103,24,0025A085,,,
795,0025AAA103,25,0025A087,,,
855,0025AAA103,26,0025A088,,,
812,0025AAA103,27,0025A089,,,
784,0025AAA103,28,0025A091,,,
846,0025AAA103,29,0025A095,,,
781,0025AAA103,30,0025A096,,,
883,0025AAA103,31,0025A098,,,
609,0025AAA103,32,0024A096補,,,
831,0025AAA103,33,0025A027,,,
841,0025AAA104,1,0025A107,,,
782,0025AAA104,2,0025A106,,,
875,0025AAA104,3,0025A099,,,
828,0025AAA104,4,0025A100,,,
716,0025AAA104,5,0024B052補,,,
925,0025AAA104,6,0001A024補,,,
704,0025AAA104,7,0024B030補,,,
707,0025AAA104,8,0024B064補,,,
809,0025AAA104,9,0025A066,,,
885,0025AAA104,10,0025A058,,,
888,0025AAA104,11,0025A068,,,
627,0025AAA104,12,0024A084補,,,
833,0025AAA104,13,0025A071,,,
871,0025AAA104,14,0025A060,,,
802,0025AAA104,15,0025A062,,,
779,0025AAA104,16,0025A076,,,
798,0025AAA104,17,0025A077,,,
861,0025AAA104,18,0025A063,,,
807,0025AAA104,19,0025A082,,,
601,0025AAA104,20,0024A078補,,,
638,0025AAA104,21,0024A071補,,,
794,0025AAA104,22,0025A075,,,
853,0025AAA104,23,0025A078,,,
751,0025AAA104,24,0025A061,,,
817,0025AAA104,25,0025A067,,,
786,0025AAA104,26,0025A072,,,
799,0025AAA104,27,0025A080,,,
834,0025AAA104,28,0025A065,,,
316,0022AAA101,2,0001A004補,,,
37,0022AAA101,3,0022A085,,,
169,0022AAA101,4,0022A094,,,
92,0022AAA101,5,0022A095,,,
91,0022AAA101,6,0022A096,,,
136,0022AAA101,7,0022A097,,,
53,0022AAA101,8,0022A038,,,
62,0022AAA101,9,0022A046,,,
142,0022AAA101,10,0022A048,,,
156,0022AAA101,11,0022A054,,,
83,0022AAA101,12,0022A050,,,
143,0022AAA101,13,0022A037,,,
151,0022AAA101,14,0022A036,,,
71,0022AAA101,15,0022A029,,,
78,0022AAA101,16,0022A044,,,
117,0022AAA101,17,0022A033,,,
88,0022AAA101,18,0022A042,,,
39,0022AAA101,19,0022A055,,,
130,0022AAA101,20,0022A030,,,
79,0022AAA101,21,0022A040,,,
89,0022AAA101,22,0022A041,,,
36,0022AAA101,23,0022A032,,,
193,0022AAA101,24,0022A144,,,
147,0022AAA101,25,0022A117,,,
60,0022AAA101,26,0022A039,,,
49,0022AAA101,27,0022A035,,,
154,0022AAA101,28,0022A043,,,
44,0022AAA101,29,0022A034,,,
87,0022AAA101,30,0022A031,,,
77,0022AAA102,1,0022A127,,,
149,0022AAA102,2,0022A128,,,
76,0022AAA102,3,0022A129,,,
48,0022AAA102,4,0022A143,,,
186,0022AAA102,5,0022A130,,,
51,0022AAA102,6,0022A133,,,
179,0022AAA102,7,0022A136,,,
65,0022AAA102,8,0022A126,,,
64,0022AAA102,9,0022A142,,,
326,0022AAA102,10,0001A012補,,,
38,0022AAA102,11,0022A028,,,
90,0022AAA102,12,0022A014,,,
43,0022AAA102,13,0022A010,,,
30,0022AAA102,14,0022A011,,,
166,0022AAA102,15,0022A007,,,
128,0022AAA102,16,0022A003,,,
54,0022AAA102,17,0022A002,,,
104,0022AAA102,18,0022A008,,,
94,0022AAA102,19,0022A016,,,
132,0022AAA102,20,0022A017,,,
73,0022AAA102,21,0022A006,,,
96,0022AAA102,22,0022A013,,,
