序號,路期,號碼,備註,路考日期,路考項目,
23708,0140BAA101,3,0140A045補,8/23/18 0:00,2,
23562,0140BAA101,4,0139A042補,8/23/18 0:00,2,
23770,0140BAA101,5,0140B016,8/23/18 0:00,2,
23890,0140BAA101,6,0140B019,8/23/18 0:00,2,
23801,0140BAA101,7,0140B099,8/23/18 0:00,2,
23868,0140BAA101,8,0140B130,8/23/18 0:00,2,
23720,0140BAA101,9,0140B027,8/23/18 0:00,2,
23831,0140BAA101,10,0140B021,8/23/18 0:00,2,
23830,0140BAA101,11,0140B026,8/23/18 0:00,2,
23904,0140BAA101,12,0140B028,8/23/18 0:00,2,
23840,0140BAA101,13,0140B025,8/23/18 0:00,2,
23796,0140BAA101,14,0140B022,8/23/18 0:00,2,
23757,0140BAA101,15,0140B023,8/23/18 0:00,2,
23813,0140BAA101,16,0140B020,8/23/18 0:00,2,
23859,0140BAA101,17,0140B103,8/23/18 0:00,2,
23737,0140BAA101,18,0140A064補,8/23/18 0:00,2,
23712,0140BAA102,1,0140A044補,8/23/18 0:00,1,
23658,0140BAA102,2,0139B049補,8/23/18 0:00,2,
23798,0140BAA102,3,0140B014,8/23/18 0:00,2,
23843,0140BAA102,4,0140B011,8/23/18 0:00,2,
23804,0140BAA102,5,0140B013,8/23/18 0:00,2,
23751,0140BAA102,6,0140B116,8/23/18 0:00,2,
23862,0140BAA102,7,0140B113,8/23/18 0:00,2,
23884,0140BAA102,8,0140B120,8/23/18 0:00,2,
23860,0140BAA102,9,0140B121,8/23/18 0:00,2,
23892,0140BAA102,10,0140B141,8/23/18 0:00,2,
23906,0140BAA102,11,0140B150,8/23/18 0:00,2,
23877,0140BAA102,12,0140B145,8/23/18 0:00,2,
23834,0140BAA102,13,0140B143,8/23/18 0:00,2,
23668,0140BAA102,14,0139B051補,8/23/18 0:00,2,
23729,0140BAA102,15,0140B104,8/23/18 0:00,2,
23818,0140BAA102,16,0140B107,8/23/18 0:00,2,
23837,0140BAA102,17,0140B109,8/23/18 0:00,2,
23895,0140BAA102,18,0140B111,8/23/18 0:00,2,
23893,0140BAA102,19,0140B112,8/23/18 0:00,2,
23683,0140BAA103,1,0140A006補,8/23/18 0:00,1,
23722,0140BAA103,2,0140A011補,8/23/18 0:00,2,
23785,0140BAA103,3,0140B018,8/23/18 0:00,2,
23836,0140BAA103,4,0140B100,8/23/18 0:00,2,
